dt,cnt
2012-01-01,370317
2012-01-02,697643
2012-01-03,1129329
2012-01-04,1353791
2012-01-05,1493496
2012-01-06,1581925
2012-01-07,1656017
2012-01-08,1726950
2012-01-09,1787699
2012-01-10,1838485
2012-01-11,1891251
2012-01-12,1947397
2012-01-13,1997960
2012-01-14,2044445
2012-01-15,2091567
2012-01-16,2140330
2012-01-17,2183780
2012-01-18,2225678
2012-01-19,2268030
2012-01-20,2311241
2012-01-21,2350841
2012-01-22,2391320
2012-01-23,2426594
2012-01-24,2461389
2012-01-25,2494116
2012-01-26,2524253
2012-01-27,2552785
2012-01-28,2582894
2012-01-29,2615564
2012-01-30,2644166
2012-01-31,2670791
2012-02-01,2680949
2012-02-02,2648798
2012-02-03,2480362
2012-02-04,2379284
2012-02-05,2322407
2012-02-06,2287082
2012-02-07,2259838
2012-02-08,2232303
2012-02-09,2210846
2012-02-10,2193512
2012-02-11,2182233
2012-02-12,2175650
2012-02-13,2167626
2012-02-14,2156605
2012-02-15,2144354
2012-02-16,2136627
2012-02-17,2132121
2012-02-18,2128327
2012-02-19,2127559
2012-02-20,2128025
2012-02-21,2124723
2012-02-22,2118903
2012-02-23,2115918
2012-02-24,2113454
2012-02-25,2114524
2012-02-26,2118707
2012-02-27,2119757
2012-02-28,2119003
2012-02-29,2115518
2012-03-01,2113656
2012-03-02,2112462
2012-03-03,2116747
2012-03-04,2125080
2012-03-05,2129910
2012-03-06,2131068
2012-03-07,2127735
2012-03-08,2126619
2012-03-09,2127120
2012-03-10,2131762
2012-03-11,2139040
2012-03-12,2145191
2012-03-13,2147504
2012-03-14,2146876
2012-03-15,2147906
2012-03-16,2150122
2012-03-17,2155863
2012-03-18,2162538
2012-03-19,2164686
2012-03-20,2166971
2012-03-21,2168259
2012-03-22,2168800
2012-03-23,2170996
2012-03-24,2176510
2012-03-25,2186912
2012-03-26,2193223
2012-03-27,2196066
2012-03-28,2197101
2012-03-29,2200824
2012-03-30,2204411
2012-03-31,2213264
2012-04-01,2225584
2012-04-02,2237669
2012-04-03,2246933
2012-04-04,2254992
2012-04-05,2267003
2012-04-06,2283353
2012-04-07,2299348
2012-04-08,2330537
2012-04-09,2362619
2012-04-10,2385741
2012-04-11,2403886
2012-04-12,2422055
2012-04-13,2437158
2012-04-14,2454420
2012-04-15,2476013
2012-04-16,2493161
2012-04-17,2507287
2012-04-18,2518011
